timestamp,frame_count,gaze_x,gaze_y,target_track_id,target_class_name,target_coord_x1,target_coord_y1,target_coord_x2,target_coord_y2,distance_score,gazing_time
1753868641639,6094,680,361,1228,chair,699,203,848,325,1.3472657495832068,-3.1342458724975586
1753868641739,6094,680,361,1228,,0,0,0,0,999,0
1753868641871,6094,680,361,1228,,0,0,0,0,999,0
1753868641907,6094,680,361,1228,,0,0,0,0,999,0
1753868641939,6094,680,361,1228,,0,0,0,0,999,0
1753868641971,6094,680,361,1228,,0,0,0,0,999,0
1753868642004,6094,680,361,1228,,0,0,0,0,999,0
1753868642039,6094,680,361,1228,,0,0,0,0,999,0
1753868642071,6094,680,361,1228,,0,0,0,0,999,0
1753868642104,6094,683,363,1228,,0,0,0,0,999,0
1753868642135,6094,683,363,1228,,0,0,0,0,999,0
1753868642171,6094,683,363,1228,,0,0,0,0,999,0
1753868642207,6094,683,363,1228,,0,0,0,0,999,0
1753868642235,6094,683,363,1228,,0,0,0,0,999,0
1753868642272,6094,683,363,1228,,0,0,0,0,999,0
1753868642303,6094,683,363,1228,,0,0,0,0,999,0
1753868642335,6094,683,363,1228,,0,0,0,0,999,0
1753868642367,6094,683,363,1228,,0,0,0,0,999,0
1753868642404,6094,683,363,1228,,0,0,0,0,999,0
1753868642435,6094,683,363,1228,,0,0,0,0,999,0
1753868642468,6094,683,363,1228,,0,0,0,0,999,0
1753868642501,6094,683,363,1228,,0,0,0,0,999,0
1753868642535,6094,683,363,1228,,0,0,0,0,999,0
1753868642567,6094,683,363,1228,,0,0,0,0,999,0
1753868642599,6094,683,363,1228,,0,0,0,0,999,0
1753868642635,6094,683,363,1228,,0,0,0,0,999,0
1753868642667,6094,683,363,1228,,0,0,0,0,999,0
1753868642701,6094,683,363,1228,,0,0,0,0,999,0
1753868642731,6094,683,363,1228,,0,0,0,0,999,0
1753868642770,6094,683,363,1228,,0,0,0,0,999,0
1753868642803,6094,683,363,1228,,0,0,0,0,999,0
